community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Framingham,Jun,6.6433333333333335,16-18,4.8,1.8433333333333337,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Mar,8.863333333333333,16-18,4.8,4.0633333333333335,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,May,7.693333333333333,16-18,4.8,2.8933333333333335,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Nov,7.723333333333334,16-18,4.8,2.923333333333334,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Oct,6.25,16-18,4.8,1.4500000000000002,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Sep,5.8966666666666665,16-18,4.8,1.0966666666666667,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Hingham,Apr,1.9166666666666667,16-18,0.5,1.4166666666666667,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Aug,0.7333333333333334,16-18,0.5,0.2333333333333334,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Dec,1.2666666666666666,16-18,0.5,0.7666666666666666,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Feb,1.8266666666666667,16-18,0.5,1.3266666666666667,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Jan,1.6866666666666665,16-18,0.5,1.1866666666666665,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Jul,0.8366666666666667,16-18,0.5,0.33666666666666667,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Jun,1.0866666666666667,16-18,0.5,0.5866666666666667,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Mar,1.91,16-18,0.5,1.41,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,May,1.33,16-18,0.5,0.8300000000000001,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
