community,month,monthlyav,year,Sani_Q,II_Q,FY,CY20_meth,actual
Malden,Oct,7.355555555555555,18-20,4.9,2.455555555555555,FY22,3yr ave (2019x2),FALSE
Malden,Sep,6.932222222222221,18-20,4.9,2.032222222222221,FY22,3yr ave (2019x2),FALSE
Medford,Apr,10.125555555555556,18-20,4.2,5.9255555555555555,FY22,3yr ave (2019x2),FALSE
Medford,Aug,6.303333333333334,18-20,4.2,2.1033333333333335,FY22,3yr ave (2019x2),FALSE
Medford,Dec,9.38888888888889,18-20,4.2,5.188888888888889,FY22,3yr ave (2019x2),FALSE
Medford,Feb,8.373333333333333,18-20,4.2,4.173333333333333,FY22,3yr ave (2019x2),FALSE
Medford,Jan,7.893333333333334,18-20,4.2,3.6933333333333342,FY22,3yr ave (2019x2),FALSE
Medford,Jul,6.055555555555555,18-20,4.2,1.8555555555555552,FY22,3yr ave (2019x2),FALSE
Medford,Jun,6.165555555555556,18-20,4.2,1.9655555555555555,FY22,3yr ave (2019x2),FALSE
Medford,Mar,9.944444444444445,18-20,4.2,5.7444444444444445,FY22,3yr ave (2019x2),FALSE
Medford,May,7.754444444444445,18-20,4.2,3.554444444444445,FY22,3yr ave (2019x2),FALSE
Medford,Nov,10.131111111111112,18-20,4.2,5.931111111111112,FY22,3yr ave (2019x2),FALSE
Medford,Oct,6.572222222222222,18-20,4.2,2.372222222222222,FY22,3yr ave (2019x2),FALSE
Medford,Sep,6.1433333333333335,18-20,4.2,1.9433333333333334,FY22,3yr ave (2019x2),FALSE
Melrose,Apr,6.101111111111111,18-20,1.8,4.301111111111111,FY22,3yr ave (2019x2),FALSE
Melrose,Aug,2.966666666666667,18-20,1.8,1.1666666666666667,FY22,3yr ave (2019x2),FALSE
Melrose,Dec,6.1688888888888895,18-20,1.8,4.36888888888889,FY22,3yr ave (2019x2),FALSE
Melrose,Feb,5.278888888888889,18-20,1.8,3.478888888888889,FY22,3yr ave (2019x2),FALSE
Melrose,Jan,4.921111111111111,18-20,1.8,3.1211111111111114,FY22,3yr ave (2019x2),FALSE
Melrose,Jul,3.0866666666666664,18-20,1.8,1.2866666666666664,FY22,3yr ave (2019x2),FALSE
Melrose,Jun,3.4444444444444446,18-20,1.8,1.6444444444444446,FY22,3yr ave (2019x2),FALSE
Melrose,Mar,5.967777777777778,18-20,1.8,4.167777777777778,FY22,3yr ave (2019x2),FALSE
Melrose,May,4.63,18-20,1.8,2.83,FY22,3yr ave (2019x2),FALSE
Melrose,Nov,6.225555555555556,18-20,1.8,4.425555555555556,FY22,3yr ave (2019x2),FALSE
Melrose,Oct,3.3666666666666667,18-20,1.8,1.5666666666666667,FY22,3yr ave (2019x2),FALSE
Melrose,Sep,2.8855555555555554,18-20,1.8,1.0855555555555554,FY22,3yr ave (2019x2),FALSE
Milton,Apr,5.168888888888889,18-20,1.4,3.7688888888888887,FY22,3yr ave (2019x2),FALSE
Milton,Aug,1.9922222222222223,18-20,1.4,0.5922222222222224,FY22,3yr ave (2019x2),FALSE
Milton,Dec,4.582222222222223,18-20,1.4,3.1822222222222227,FY22,3yr ave (2019x2),FALSE
Milton,Feb,4.397777777777778,18-20,1.4,2.997777777777778,FY22,3yr ave (2019x2),FALSE
Milton,Jan,4.311111111111111,18-20,1.4,2.911111111111111,FY22,3yr ave (2019x2),FALSE
Milton,Jul,2.227777777777778,18-20,1.4,0.827777777777778,FY22,3yr ave (2019x2),FALSE
Milton,Jun,2.582222222222222,18-20,1.4,1.1822222222222223,FY22,3yr ave (2019x2),FALSE
Milton,Mar,5.335555555555556,18-20,1.4,3.9355555555555557,FY22,3yr ave (2019x2),FALSE
Milton,May,3.851111111111111,18-20,1.4,2.451111111111111,FY22,3yr ave (2019x2),FALSE
Milton,Nov,4.835555555555556,18-20,1.4,3.4355555555555557,FY22,3yr ave (2019x2),FALSE
Milton,Oct,2.5566666666666666,18-20,1.4,1.1566666666666667,FY22,3yr ave (2019x2),FALSE
Milton,Sep,2.061111111111111,18-20,1.4,0.661111111111111,FY22,3yr ave (2019x2),FALSE
Natick,Apr,4.021111111111111,18-20,1.8,2.221111111111111,FY22,3yr ave (2019x2),FALSE
Natick,Aug,2.3955555555555557,18-20,1.8,0.5955555555555556,FY22,3yr ave (2019x2),FALSE
Natick,Dec,3.5355555555555553,18-20,1.8,1.7355555555555553,FY22,3yr ave (2019x2),FALSE
Natick,Feb,3.408888888888889,18-20,1.8,1.6088888888888888,FY22,3yr ave (2019x2),FALSE
